# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
40	0.000000	0.000000
41	0.000000	0.000000
43	0.000000	0.000000
44	0.000000	0.000000
45	0.000000	0.000000
46	0.000000	0.000000
47	0.000000	0.000000
49	0.000000	0.000000
50	0.000000	0.000000
51	0.000000	0.000000
53	0.000000	0.000000
54	0.000000	0.000000
55	0.000000	0.000000
56	0.000000	0.000000
57	0.000000	0.000000
58	0.000000	0.000000
60	0.000000	0.000000
62	0.000000	0.000000
63	0.000000	0.000000
64	0.000000	0.000000
65	0.000000	0.000000
66	0.000000	0.000000
67	0.000000	0.000000
68	0.000000	0.000000
69	0.000000	0.000000
70	0.000000	0.000000
71	0.000000	0.000000
72	0.000000	0.000000
73	0.000000	0.000000
74	0.000000	0.000000
75	0.000000	0.000000
76	0.000000	0.000000
77	0.000000	0.000000
78	0.000000	0.000000
79	0.000000	0.000000
81	0.000000	0.000000
82	0.000000	0.000000
83	0.000000	0.000000
84	0.000000	0.000000
85	0.000000	0.000000
86	0.000000	0.000000
87	0.000000	0.000000
88	0.000000	0.000000
89	0.000000	0.000000
90	0.000000	0.000000
91	0.000000	0.000000
92	0.000000	0.000000
93	0.000000	0.000000
95	0.000000	0.000000
98	0.000000	0.000000
99	0.000000	0.000000
100	0.000000	0.000000
102	0.000000	0.000000
103	0.000000	0.000000
104	0.000000	0.000000
105	0.000000	0.000000
106	0.000000	0.000000
107	0.000000	0.000000
109	0.000000	0.000000
110	0.000000	0.000000
111	0.000000	0.000000
113	0.000000	0.000000
114	0.000000	0.000000
116	0.000000	0.000000
117	0.000000	0.000000
118	0.000000	0.000000
120	0.000000	0.000000
121	0.000000	0.000000
122	0.000000	0.000000
123	0.000000	0.000000
125	0.000000	0.000000
126	0.000000	0.000000
127	0.000000	0.000000
129	0.000000	0.000000
134	0.000000	0.000000
135	0.000000	0.000000
137	0.000000	0.000000
139	0.000000	0.000000
140	0.000000	0.000000
141	0.000000	0.000000
143	0.000000	0.000000
145	0.000000	0.000000
146	0.000000	0.000000
147	0.000000	0.000000
151	0.000000	0.000000
152	0.000000	0.000000
153	0.000000	0.000000
154	0.000000	0.000000
156	0.000000	0.000000
157	0.000000	0.000000
158	0.000000	0.000000
162	0.000000	0.000000
163	0.000000	0.000000
167	0.000000	0.000000
171	0.000000	0.000000
172	0.000000	0.000000
174	0.000000	0.000000
181	0.000000	0.000000
182	0.000000	0.000000
183	0.000000	0.000000
185	0.000000	0.000000
188	0.000000	0.000000
192	0.000000	0.000000
193	0.000000	0.000000
198	0.000000	0.000000
199	0.000000	0.000000
201	0.000000	0.000000
203	0.000000	0.000000
205	0.000000	0.000000
208	0.000000	0.000000
212	0.000000	0.000000
215	0.000000	0.000000
216	0.000000	0.000000
218	0.000000	0.000000
220	0.000000	0.000000
228	0.000000	0.000000
239	0.000000	0.000000
240	0.000000	0.000000
248	0.000000	0.000000
250	0.000000	0.000000
254	0.000000	0.000000
257	0.000000	0.000000
262	0.000000	0.000000
263	0.000000	0.000000
277	0.000000	0.000000
279	0.000000	0.000000
300	0.000000	0.000000
307	0.000000	0.000000
319	0.000000	0.000000
327	0.000000	0.000000
330	0.000000	0.000000
349	0.000000	0.000000
357	0.000000	0.000000
389	0.000000	0.000000
390	0.000000	0.000000
400	0.000000	0.000000
414	0.000000	0.000000
415	0.000000	0.000000
417	0.000000	0.000000
418	0.000000	0.000000
420	0.000000	0.000000
426	0.000000	0.000000
450	0.000000	0.000000
456	0.000000	0.000000
477	0.000000	0.000000
